Title,Author(s),Publication Year,Publication Source,Retrieval Link
Adversarial Symbolic Execution for Detecting Concurrency-Related Cache Timing Leaks,"Shengjian (Daniel) Guo, Meng Wu, Chao Wang",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,"Yu Gao, Wensheng Dou, Feng Qin, Chushu Gao, Dong Wang, Jun Wei, Ruirui Huang, Li Zhou, Yongming Wu",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
A Novel Automated Approach for Software Effort Estimation Based on Data Augmentation,"Liyan Song, Leandro Minku , Xin Yao",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
"AppFlow: Using Machine Learning to Synthesize Robust, Reusable UI Tests","Gang Hu, Linjie Zhu, Junfeng Yang",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Applications of Psychological Science for Actionable Analytics,"Di Chen, Wei Fu, Rahul Krishna, Tim Menzies",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Automated Patch Extraction via Syntax- and Semantics-Aware Delta Debugging on Source Code Changes,"Masatomo Hashimoto, Akira Mori, Tomonori Izumida",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Be Careful of When: An Empirical Study on Time-Related Misuse of Issue Tracking Data,"Feifei Tu, Jiaxin Zhu, Qimu Zheng, Minghui Zhou",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Bug Synthesis: Challenging Bug-Finding Tools with Deep Faults,"Subhajit Roy, Awanish Pandey, Brendan Dolan-Gavitt, Yu Hu",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
CloudRaid: Hunting Concurrency Bugs in the Cloud via Log-Mining,"Jie Lu, Feng Li, Lian Li, Xiaobing Feng",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Code Vectors: Understanding Programs Through Embedded Abstracted Symbolic Traces,"Jordan Henkel, Shuvendu K. Lahiri, Ben Liblit, Thomas Reps",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Complementing Global and Local Contexts in Representing API Descriptions to Improve API Retrieval Tasks,"Thanh Nguyen, Ngoc Tran, Hung Phan, Trong Nguyen, Linh Truong, Trong Nguyen, Hoan Anh Nguyen, Tien N. Nguyen",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Concurrency Verification with Maximal Path Causality,"Qiuping Yi, Jeff Huang",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Darwinian Data Structure Selection,"Michail Basios, Lingbo Li, Fan Wu, Leslie Kanthan, Earl T. Barr",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Data Race Detection on Compressed Traces,"Dileep Kini, Umang Mathur, Mahesh Viswanathan",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
Deep Learning Type Inference,"Vincent J. Hellendoorn, Christian Bird, Earl T. Barr, Miltiadis Allamanis",2018,ESEC/FSE - Research Papers,https://2018.fseconference.org/track/fse-2018-research-papers#event-overview
