Title,Author(s),Publication Year,Publication Source,Retrieval Link
Adopting Use Case Descriptions for Requirements Specification: an Industrial Case Study,"Julian Frattini, Anja Frattini",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
"Augmenting, Not Replacing: The Role of LLMs in Human-Centric Formal RE","Sonora Halili, Paola Spoletini, Alicia M. Grubb",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Demystifying Feature Requests: Leveraging LLMs to Refine Feature Requests in Open-Source Software,"Pragyan K C, Rambod Ghandiparsi, Thomas Herron, John Heaps, Mitra Bokaei Hosseini",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Design Thinking In Requirements Engineering: Understanding The Role Of Internal And External Empathy,"Ezequiel Kahan, Marcela Fabiana Genero Bocco, Beatriz Bernárdez, Alejandro Oliveros",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
From Requirements to Code: Understanding Developer Practices in LLM-Assisted Software Engineering,"Jonathan Ullrich, Matthias Koch, Andreas Vogelsang",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Generative Goal Modeling,"Travis Breaux, Ateeq Sharfuddin",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
"How to Elicit Explainability Requirements? A Comparison of Interviews, Focus Groups, and Surveys","Martin Obaidi, Jakob Droste, Hannah Deters, Marc Herrmann, Jil Klünder, Kurt Schneider, Raymond Ochsner",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Identifying Explanation Needs: Towards a Catalog of User-based Indicators,"Hannah Deters, Jakob Droste, Martin Obaidi, Laura Reinhardt, Kurt Schneider",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Legal Requirements Translation from Law,"Anmol Singhal, Travis Breaux",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
LLM-assisted Extraction of Regulatory Requirements: A Case Study on the GDPR,"Sallam Abualhaija, Marcello Ceci, Nicolas Sannier, Domenico Bianculli, Salomé Lannier, Martina Siclari, Olivier Voordeckers, Stanisław Tosza",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
LLM-based Satisfiability Checking of String Requirements by Consistent Data and Checker Generation,"Boqi Chen, Aren Babikian, Daniel Varro, Gunter Mussbacher, Shuzhao Feng",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
LLMREI: Automating Requirements Elicitation Interviews with LLMs,"Alexander Korn, Smuel Gorsch, Andreas Vogelsang",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
LSRM: A Hybrid LLM-SBERT Approach for Mapping User Requirements to Product Functionalities in Complex Products,"Bin Liang, Zhiwei Zhang, Kam-Fai Wong",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Model Cards Revisited: Bridging the Gap Between Theory and Practice for Ethical AI Requirements,"Tim Puhlfürß, Walid Maalej, Julia Butzke",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
QUESTRL: A Q&A Framework for Specifying and Designing Trustworthy Reinforcement Learning Systems,"Katherine R. Dearstyne, Pedro Alarcon Granadeno, Theodore Chambers , Jane Cleland-Huang",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Requirements Elicitation Follow-up Question Generation,"Anmol Singhal, Yuchen Shen, Travis Breaux",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Specifying Operational Design Domain in Autonomous Driving for Comprehensive Data Evaluation,"Hamed Barzamini, Ramesh S, Arun Adiththan, Prakash Peranandam, Mona Rahimi",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Students’ Perception of LLM Use in Requirements Engineering Education: An Empirical Study Across Two Universities,"Sharon Clarissa Guardado Medina, Risha Parveen, Zheying Zhang, Maruf Rayhan, Nirnaya Tripathi",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
"The Good, the Bad, and the Uncanny: Investigating Diversity Aspects of LLM-Generated Personas for Requirements Engineering","Christopher Lazik, Ines Nunes, Lars Grunske, Thomas Kosch, Aaron Ziglowski, Charlotte Kauter, Alina Pryma, Christopher Katins",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
The Impact of Requirements Artifacts on Efficiency in Agile Development: A Case Study,"Sabine Molenaar, Fabiano Dalpiaz",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
What About Emotions? Guiding Fine-Grained Emotion Extraction from Mobile App Reviews,"Quim Motger, Marc Oriol, Max Tiessler, Xavier Franch, Jordi Marco",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
What does a Public Discourse state about Requirements Process Debt Causes?,"Sávio Freire, Manoel Mendonça, Julio Cesar Leite",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
Where Do Users Draw the Line? Ethical Concerns about Software,"Daan Kieft, Laura Duits, Emitzá Guzmán",2025,Requirements Engineering - Research Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview
